name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2022-07-10,23.5,15,19,23.5,15,19,12,65.2,0,0,0,rain,0,0,22.3,11.8,202.7,1026.6,65.6,16,209.6,18.1,9,10,2022-07-10T05:22:37,2022-07-10T21:06:29,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2022-07-11,28.1,16.1,22.1,27.9,16.1,22.1,13.1,59,0,0,0,,0,0,40.7,24.5,332.9,1020.7,2.5,15.9,314.5,27.4,9,10,2022-07-11T05:23:31,2022-07-11T21:05:50,0.46,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2022-07-12,27.7,16.4,21.8,27.5,16.4,21.8,12.6,56.7,0,0,0,,0,0,35.3,17.2,342.6,1013.4,3.8,16,330.4,28.7,9,10,2022-07-12T05:24:26,2022-07-12T21:05:08,0.49,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-13,23.8,14.3,18.5,23.8,14.3,18.5,10.2,59.6,0,0,0,,0,0,29.5,13.7,336.8,1017.2,19,15.7,330.4,28.5,9,10,2022-07-13T05:25:23,2022-07-13T21:04:24,0.5,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-14,26.1,13.4,19,26.1,13.4,19,11.4,63.3,0,0,0,,0,0,20.5,10.6,321.9,1017.1,3.1,15.9,324.4,27.9,9,10,2022-07-14T05:26:22,2022-07-14T21:03:37,0.51,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-15,25.2,13,19.1,25.2,13,19.1,11.2,62.2,0,0,0,,0,0,31.7,18.6,202.2,1017.7,29.5,15.9,307.9,26.6,9,10,2022-07-15T05:27:22,2022-07-15T21:02:48,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-16,21.5,16.3,18.5,21.5,16.3,18.5,12.2,67.7,0,0,0,rain,0,0,22,15.8,233.6,1018.6,99,15.6,166.5,14.3,6,10,2022-07-16T05:28:23,2022-07-16T21:01:57,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-17,19.6,15,17.1,19.6,15,17.1,9.3,60.5,0,0,0,rain,0,0,17.6,10.3,3.5,1017.8,97.6,16,191.8,16.7,8,10,2022-07-17T05:29:25,2022-07-17T21:01:04,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-18,22.2,12.9,17,22.2,12.9,17,11.6,71.8,0.173,100,8.33,rain,0,0,29.5,15.5,248.4,1020.4,66.7,15.6,196.5,16.9,7,10,2022-07-18T05:30:29,2022-07-18T21:00:08,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-19,26.2,13.9,19.9,26.2,13.9,19.9,12.4,63.9,0,0,0,,0,0,33.5,24.7,328,1018,4,15.8,315.2,27.3,9,10,2022-07-19T05:31:34,2022-07-19T20:59:10,0.7,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
